"Contract Number","Plan Count","Organization Name","Organization Marketing Name","Parent Organization"
"H3379","13","UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H3384","11","Highmark Western and Northeastern New York Inc.","Highmark Blue Cross Blue Shield or Highmark Blue Shield","Highmark Health"
"H3387","4","UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H3388","7","CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.","CDPHP Medicare Advantage","Lifetime Healthcare, Inc."
"H3404","5","BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA","Blue Cross and Blue Shield of North Carolina","CuraCor Solutions Corp."
"H3407","3","EL PASO FIRST HEALTH PLANS, INC.","El Paso Health Medicare Advantage","El Paso County Hospital District"
"H3418","4","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc."
"H3419","6","PERENNIAL ADVANTAGE OF COLORADO, INC.","Perennial Advantage","Perennial Consortium, LLC"
"H3430","2","SUNCOAST PACE, INC.","Suncoast PACE, Inc.","Empath Health, Inc."
"H3443","10","ALIGNMENT HEALTH PLAN OF ARIZONA, INC.","Alignment Health Plan","Alignment Healthcare USA, LLC"
"H3447","33","HEALTHKEEPERS, INC.","Anthem HealthKeepers","Elevance Health, Inc."
"H3449","8","BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA","Blue Cross and Blue Shield of North Carolina","CuraCor Solutions Corp."
"H3467","3","PROCARE ADVANTAGE, LLC","ProCare Advantage","First Sacramento Capital Funding LLC"
"H3473","2","INNOVAGE VIRGINIA PACE-CHARLOTTESVILLE, LLC","InnovAge Virginia PACE - Blue Ridge","Total Community Options, Inc."
"H3493","2","LIFE AT LOURDES, INC.","Trinity Health LIFE New Jersey","Trinity Health Corporation"
"H3499","2","COORDINATED CARE CORPORATION","Wellcare","Centene Corporation"
"H3517","2","HUMBOLDT SENIOR RESOURCE CENTER, INC.","Redwood Coast PACE","Humboldt Senior Resource Center, Inc."
"H3522","2","REID HOSPITAL & HEALTH CARE SERVICES, INC.","Reid Health PACE Center","Reid Hospital & Health Care Services, Inc."
"H3528","6","CONNECTICARE, INC.","ConnectiCare","Molina Healthcare, Inc."
"H3533","9","HUMANA HEALTH COMPANY OF NEW YORK, INC.","Humana","Humana Inc."
"H3536","6","MATTHEW THORNTON HEALTH PLAN, INC.","Anthem Blue Cross and Blue Shield","Elevance Health, Inc."
"H3551","4","ETERNALHEALTH OF ARIZONA INC","eternalHealth","Eternal Health of Delaware, Inc."
"H3557","3","BLUE CROSS & BLUE SHIELD OF RHODE ISLAND","Blue Cross & Blue Shield of Rhode Island","Blue Cross & Blue Shield of Rhode Island"
"H3561","3","HEALTH NET COMMUNITY SOLUTIONS, INC.","Wellcare","Centene Corporation"
"H3563","2","GARY AND MARY WEST SENIOR SERVICES, INC.","Gary and Mary West PACE","Gary and Mary West Senior Services, Inc."
"H3597","7","AETNA HEALTH INC. (ME)","Aetna Medicare","CVS Health Corporation"
"H3613","2","MCGREGOR PACE","McGregor PACE","McGregor at Overlook"
"H3653","6","PARAMOUNT CARE, INC.","Paramount Elite Medicare Plans","MEDICAL MUTUAL OF OHIO"
"H3655","8","COMMUNITY INSURANCE COMPANY","Anthem Blue Cross and Blue Shield","Elevance Health, Inc."
"H3660","11","SUMMACARE INC.","SummaCare Medicare Advantage Plans","General Catalyst Group Management Holdings LP"
"H3664","10","AULTCARE HEALTH INSURING CORPORATION","PrimeTime Health Plan","Aultman Health Foundation"
"H3668","16","MOUNT CARMEL HEALTH PLAN, INC.","MediGold","Trinity Health Corporation"
"H3672","8","THE HEALTH PLAN OF WEST VIRGINIA, INC.","The Health Plan","The Health Plan of West Virginia, Inc."
"H3706","8","GLOBALHEALTH, INC.","GlobalHealth","MHH Healthcare, L.P."
"H3708","1","OKLAHOMA SUPERIOR SELECT, INC.","American Health Advantage of Oklahoma","Mitchell Family Office"
"H3727","2","OH CHS SNP INC.","Communicare Advantage","SNP Holdings, LLC"
"H3740","2","WEST BALTIMORE PACE COMMUNITY COALITION","PACE of West Baltimore","West Baltimore PACE Community Coalition LLC"
"H3748","2","AETNA BETTER HEALTH OF WASHINGTON, INC.","Aetna Medicare","CVS Health Corporation"
"H3755","7","COMMUNITYCARE GOVERNMENT PROGRAMS, INC.","CommunityCare Senior Health Plan (HMO)","St Francis Health System & St John Health System"
"H3777","1","BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA","Experience Health","CuraCor Solutions Corp."
"H3794","3","UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H3800","1","PROVIDER PARTNERS HEALTH PLAN OF ILLINOIS","Provider Partners Health Plans","Rifkin Managed Care Holding, LLC"
"H3805","20","UnitedHealthcare Benefits of Texas, Inc.","UnitedHealthcare","UnitedHealth Group, Inc."
"H3809","2","PROVIDENCE HEALTH & SERVICES - OREGON","Providence PACE - Oregon","Providence Health & Services"
"H3810","1","ALLCARE HEALTH PLAN, INC.","AllCare Advantage","AllCare Health, Inc."
"H3811","1","SAMARITAN HEALTH PLANS, INC.","Samaritan Advantage Health Plans","Samaritan Health Services, Inc."
"H3814","2","ATRIO HEALTH PLANS","ATRIO Health Plans","ATRIO Health Plans"
"H3815","38","ALIGNMENT HEALTH PLAN","Alignment Health Plan","Alignment Healthcare USA, LLC"
"H3817","8","REGENCE BLUECROSS BLUESHIELD OF OREGON","Regence BlueCross BlueShield of Oregon","Cambia Health Solutions, Inc."
"H3822","18","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of IL, NM","Health Care Service Corporation"
"H3828","3","MOUNT CARMEL HEALTH PLAN OF IDAHO, INC.","Saint Alphonsus Health Plan","Trinity Health Corporation"
"H3832","8","HAWAII MEDICAL SERVICE ASSOCIATION","HMSA Akamai Advantage","Hawaii Medical Service Association"
"H3864","16","PACIFICSOURCE COMMUNITY HEALTH PLANS","PacificSource Medicare","PacificSource"
"H3868","1","UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C.","UnitedHealthcare","UnitedHealth Group, Inc."
"H3890","4","HOPKINS HEALTH ADVANTAGE, INC.","Johns Hopkins Advantage MD","Johns Hopkins Healthcare LLC"
"H3907","10","UPMC HEALTH PLAN, INC.","UPMC for Life","UPMC Health System"
